,R2 score,RMSE,model,time,features
0,0.47303039068816577,24.660740462408697,OLS,0.19691681861877441,1
1,0.47303140084227746,24.6607168261687,ElasticNet,0.003592252731323242,1
2,0.47303088835576246,24.66072881766285,BayesianRidge,0.0043718814849853516,1
3,0.47303213497864405,24.660699648356413,Lasso,0.0012629032135009766,1
4,0.47303039070593556,24.66074046199291,Ridge,0.006999015808105469,1
5,0.5588304450346027,22.564000191045675,KNN,0.17645788192749023,1
6,0.5684368300265388,22.316984657514606,rff,0.046018123626708984,1
0,0.5000056865930871,24.15958986950245,OLS,0.004312992095947266,2
1,0.49576827868967355,24.26174907996685,ElasticNet,0.0023071765899658203,2
2,0.5000049887636953,24.159606728960224,BayesianRidge,0.0050051212310791016,2
3,0.49916348693959844,24.17992873794633,Lasso,0.0017218589782714844,2
4,0.5000056717762447,24.159590227475356,Ridge,0.0034170150756835938,2
5,0.4736059561314553,24.7891998225419,KNN,0.11259698867797852,2
6,0.5823750784541811,22.08005894787977,rff,0.04663991928100586,2
0,0.5115294645627125,24.04246336937375,OLS,0.004395961761474609,3
1,0.5102625104168312,24.073622846151896,ElasticNet,0.002660989761352539,3
2,0.5115476504646479,24.042015811211012,BayesianRidge,0.002460002899169922,3
3,0.510907696553885,24.057760177954382,Lasso,0.002468109130859375,3
4,0.5115295971470164,24.04246010648146,Ridge,0.0014727115631103516,3
5,0.6769467591362408,19.55225389263809,KNN,0.10589718818664551,3
6,0.7221939166264965,18.13137134821635,rff,0.0904378890991211,3
0,0.5309964639178889,23.540261806463793,OLS,0.0026979446411132812,4
1,0.5290616376488906,23.588768305769904,ElasticNet,0.0033032894134521484,4
2,0.5310181360372516,23.53971791583382,BayesianRidge,0.00287628173828125,4
3,0.530416208129459,23.554819426884123,Lasso,0.003255605697631836,4
4,0.5309966588816954,23.540256913644043,Ridge,0.0028839111328125,4
5,0.7626972768306375,16.744592813146593,KNN,0.04153108596801758,4
6,0.8306007116999888,14.147477787616541,rff,0.29975104331970215,4
0,0.5375975223599163,23.27902176665514,OLS,0.002954721450805664,5
1,0.5339809854023674,23.369879268351568,ElasticNet,0.003495931625366211,5
2,0.5375590681421718,23.27998970909147,BayesianRidge,0.003434896469116211,5
3,0.5357255779527259,23.32609441712127,Lasso,0.003407001495361328,5
4,0.5375972993764341,23.279027379554034,Ridge,0.0021767616271972656,5
5,0.755658381328725,16.92206556737983,KNN,0.031668901443481445,5
6,0.8663796863901849,12.513848519591935,rff,0.2695801258087158,5
