,R2 score,RMSE,model,time,features
0,0.4145409020959865,25.993311254289406,OLS,0.002003192901611328,1
1,0.4088965878876508,26.118309310146895,ElasticNet,0.001802206039428711,1
2,0.41452605525964037,25.993640838365426,BayesianRidge,0.0024290084838867188,1
3,0.40310900685938544,26.245861965745757,Lasso,0.0015208721160888672,1
4,0.4145409009753085,25.99331127916743,Ridge,0.0016138553619384766,1
5,0.5505832919292464,22.77392755210951,KNN,0.17895126342773438,1
6,0.5326253757782291,23.224474292212733,rff,0.04590296745300293,1
0,0.44660532943754794,25.41701300653869,OLS,0.0015940666198730469,2
1,0.4108401025068126,26.225490156939074,ElasticNet,0.0015189647674560547,2
2,0.44666186267227304,25.41571470829136,BayesianRidge,0.0018649101257324219,2
3,0.4053810608102071,26.34671016467368,Lasso,0.0015170574188232422,2
4,0.4466087130530134,25.416935302926486,Ridge,0.0014941692352294922,2
5,0.4789020667109145,24.66418108571175,KNN,0.10417008399963379,2
6,0.5446295607476945,23.05629086331489,rff,0.04854702949523926,2
0,0.47947482769377403,24.818792336601035,OLS,0.002195119857788086,3
1,0.46423385491559566,25.17951789497141,ElasticNet,0.001895904541015625,3
2,0.4795394935427174,24.817250645429773,BayesianRidge,0.0022330284118652344,3
3,0.4584879739876353,25.314178020644995,Lasso,0.0018961429595947266,3
4,0.47947573383437014,24.818770734067414,Ridge,0.0015370845794677734,3
5,0.6105774147563927,21.466949999268813,KNN,0.10413312911987305,3
6,0.704564271328314,18.697833356460436,rff,0.09485316276550293,3
0,0.49076864149093036,24.529054033053715,OLS,0.0032858848571777344,4
1,0.47749559888886095,24.846670831695548,ElasticNet,0.0027189254760742188,4
2,0.4909000620588997,24.52588864450202,BayesianRidge,0.0028998851776123047,4
3,0.4721158859176843,24.974254116338383,Lasso,0.003437042236328125,4
4,0.4907705716761531,24.529007545674553,Ridge,0.0020380020141601562,4
5,0.7453886380466328,17.344513392924497,KNN,0.029937028884887695,4
6,0.8195142564884099,14.60308729891863,rff,0.25679993629455566,4
0,0.5037110159267832,24.116926949088338,OLS,0.002850055694580078,5
1,0.48703385452963077,24.518788194601523,ElasticNet,0.0029048919677734375,5
2,0.5038363341300975,24.113881867627907,BayesianRidge,0.003000974655151367,5
3,0.48273844904465446,24.621230219159635,Lasso,0.002891063690185547,5
4,0.5037123546672673,24.11689442133811,Ridge,0.0020999908447265625,5
5,0.7381809712204256,17.516819462343996,KNN,0.031184911727905273,5
6,0.85639652211405,12.972901756737775,rff,0.2789890766143799,5
0,-0.061389776590762946,35.50847296943916,OLS,0.003432035446166992,6
1,0.4800246054272226,24.853407607157216,ElasticNet,0.0032651424407958984,6
2,-0.04708214925837817,35.268332278348815,BayesianRidge,0.003484964370727539,6
3,0.47466714586369496,24.981115484710713,Lasso,0.0030641555786132812,6
4,-0.06085805986624626,35.49957764439026,Ridge,0.002129793167114258,6
5,0.7466401808329765,17.348559348423,KNN,0.033338069915771484,6
6,0.8465689830718709,13.500539619699788,rff,0.2887449264526367,6
0,0.5906621234047205,21.791901549809253,OLS,0.003297090530395508,7
1,0.49915061524472726,24.105033219841722,ElasticNet,0.003464937210083008,7
2,0.5906623753859763,21.791894842451004,BayesianRidge,0.0036296844482421875,7
3,0.4944906703537839,24.216911222164356,Lasso,0.0033097267150878906,7
4,0.59066217287881,21.79190023288431,Ridge,0.0025513172149658203,7
5,0.7628848532638921,16.58570019098717,KNN,0.0349581241607666,7
6,0.8788271185385104,11.856510213149072,rff,0.3111100196838379,7
0,0.42082795594360767,25.90213660885147,OLS,0.0036230087280273438,8
1,0.47937339751142616,24.558111784906966,ElasticNet,0.003818988800048828,8
2,0.4253382525563638,25.801083168759423,BayesianRidge,0.004185199737548828,8
3,0.47402750443042885,24.683873457036963,Lasso,0.0035331249237060547,8
4,0.42094543303604914,25.899509529344858,Ridge,0.0023801326751708984,8
5,0.7579844527207602,16.743776846147647,KNN,0.03724312782287598,8
6,0.8789430225683144,11.842045003752835,rff,0.3501429557800293,8
0,0.4176022006766288,25.885506061628444,OLS,0.0039789676666259766,9
1,0.487498740223839,24.282548557380487,ElasticNet,0.003756999969482422,9
2,0.422349041564684,25.77980015357808,BayesianRidge,0.004324913024902344,9
3,0.4827166218033896,24.39557500864159,Lasso,0.0038099288940429688,9
4,0.4177196542662831,25.882895733331846,Ridge,0.0025413036346435547,9
5,0.7672552583195622,16.363896960142277,KNN,0.04219794273376465,9
6,0.8830523556221017,11.59958726380161,rff,0.44819116592407227,9
0,0.5801289745936277,22.2722904234716,OLS,0.004309892654418945,10
1,0.4962161087101551,24.396586562517275,ElasticNet,0.005196094512939453,10
2,0.5801216505996314,22.272484675277664,BayesianRidge,0.005014181137084961,10
3,0.4889817868979547,24.571129320357436,Lasso,0.005237579345703125,10
4,0.58012896808638,22.272290596061872,Ridge,0.002630949020385742,10
5,0.7700087439284177,16.483999425063075,KNN,0.04543280601501465,10
6,0.8920645002563926,11.292473536626533,rff,0.5455167293548584,10
0,0.0037949941200157156,34.016429655570455,OLS,0.004689931869506836,11
1,0.5040919379287931,24.000205088649473,ElasticNet,0.005450010299682617,11
2,0.02144937334046071,33.71366896988997,BayesianRidge,0.005222797393798828,11
3,0.49559651350011713,24.20490644765482,Lasso,0.005190134048461914,11
4,0.004130205660720088,34.01070610514279,Ridge,0.002810955047607422,11
5,0.7753233797678074,16.15449215085012,KNN,0.04861807823181152,11
6,0.8861975810665104,11.4971478205027,rff,0.6496419906616211,11
0,0.3623450599589467,27.343496391154762,OLS,0.005134105682373047,12
1,0.49910815867495306,24.234449632489223,ElasticNet,0.005670070648193359,12
2,0.3724963937388519,27.12497180287315,BayesianRidge,0.0056915283203125,12
3,0.4901789514450823,24.449504571805875,Lasso,0.00537109375,12
4,0.36249731043448885,27.34023184430007,Ridge,0.0028371810913085938,12
5,0.7595762811105808,16.789966810659052,KNN,0.050783395767211914,12
6,0.8963804916535292,11.022546662481401,rff,0.7081942558288574,12
0,0.47090618467741197,24.84422322834215,OLS,0.00530695915222168,13
1,0.5069676977708398,23.98262779307745,ElasticNet,0.006279945373535156,13
2,0.4769732290542278,24.701369920861367,BayesianRidge,0.006255388259887695,13
3,0.4986698518443411,24.183602253624542,Lasso,0.0060727596282958984,13
4,0.4709885245355415,24.842289970617436,Ridge,0.003167867660522461,13
5,0.7661506878461601,16.516846348158683,KNN,0.055258989334106445,13
6,0.8918235948232631,11.233765473486482,rff,0.7655258178710938,13
0,0.5693744734560158,22.389936282836153,OLS,0.0057659149169921875,14
1,0.4972655162543267,24.19202988376504,ElasticNet,0.00638270378112793,14
2,0.56943983404385,22.388237039711115,BayesianRidge,0.006810903549194336,14
3,0.48977860809086105,24.37150249533049,Lasso,0.006576061248779297,14
4,0.5693756192444908,22.389906495763125,Ridge,0.003489971160888672,14
5,0.7917443257550787,15.570458242644898,KNN,0.059648990631103516,14
6,0.903414424172886,10.603740946304054,rff,0.8760931491851807,14
0,0.48194464823972905,24.43089914888165,OLS,0.006032705307006836,15
1,0.5031307766564195,23.926127741805033,ElasticNet,0.0063550472259521484,15
2,0.4880225805117132,24.287162142282764,BayesianRidge,0.007236003875732422,15
3,0.49637269036976517,24.088291868013844,Lasso,0.006742000579833984,15
4,0.4820203929488449,24.429113066575194,Ridge,0.003545045852661133,15
5,0.7844161777020141,15.760117552812721,KNN,0.07146716117858887,15
6,0.9032087007751434,10.560136414028232,rff,0.9101850986480713,15
0,0.328438162831137,27.991844012605625,OLS,0.006384134292602539,16
1,0.5155938460438105,23.773511305350166,ElasticNet,0.009691715240478516,16
2,0.345984778295092,27.62373717145728,BayesianRidge,0.0076639652252197266,16
3,0.5006194125295385,24.13816952314949,Lasso,0.008140087127685547,16
4,0.3286572034425804,27.987278646968697,Ridge,0.003643035888671875,16
5,0.7124099830261641,18.31788837876341,KNN,0.05465126037597656,16
6,0.907180753557221,10.406567947327536,rff,1.015188217163086,16
0,0.43070174289090124,25.93377330212961,OLS,0.007508993148803711,17
1,0.5081724560974037,24.104726407610382,ElasticNet,0.011455059051513672,17
2,0.44018853727197704,25.716785144531062,BayesianRidge,0.009720325469970703,17
3,0.4927848773578204,24.478898967433874,Lasso,0.008472919464111328,17
4,0.43081260337052873,25.931248113891698,Ridge,0.004822731018066406,17
5,0.704126450740044,18.696006647741882,KNN,0.09769606590270996,17
6,0.8960363855673169,11.08246754183286,rff,1.1162047386169434,17
0,0.4538702246531121,25.512525484718214,OLS,0.007744550704956055,18
1,0.5194233599149052,23.93243303117951,ElasticNet,0.010642051696777344,18
